0,1.54644
1,1.30263
2,1.10042
3,0.932218
4,0.791898
5,0.674496
6,0.575978
7,0.493066
8,0.423087
9,0.363854
10,0.313578
11,0.27079
12,0.23428
13,0.203047
14,0.176266
15,0.153249
16,0.133424
17,0.116314
18,0.101519
19,0.088702
20,0.0775807
21,0.0679157
22,0.0595041
23,0.0521737
24,0.0457777
25,0.0401908
26,0.0353056
27,0.03103
28,0.0272847
29,0.0240014
30,0.021121
31,0.0185926
32,0.0163718
33,0.0144202
34,0.0127043
35,0.011195
36,0.00986694
37,0.00869795
38,0.00766865
39,0.0067621
40,0.00596346
41,0.00525972
42,0.00463949
43,0.00409276
44,0.00361074
45,0.00318571
46,0.00281088
47,0.00248029
48,0.00218868
49,0.00193145
50,0.00170451
51,0.00150428
52,0.00132761
53,0.00117173
54,0.00103416
55,0.000912771
56,0.000805641
57,0.000711096
58,0.000627653
59,0.000554008
60,0.000489009
61,0.00043164
62,0.000381004
63,0.000336309
64,0.00029686
65,0.000262039
66,0.000231303
67,0.000204173
68,0.000180225
69,0.000159086
70,0.000140428
71,0.000123957
72,0.000109419
73,9.65853e-05
74,8.52571e-05
75,7.52576e-05
76,6.64309e-05
77,5.86394e-05
78,5.17617e-05
79,4.56907e-05
80,4.03317e-05
81,3.56012e-05
82,3.14255e-05
83,2.77396e-05
84,2.44859e-05
85,2.16139e-05
86,1.90787e-05
87,1.68409e-05
88,1.48656e-05
89,1.31219e-05
90,1.15827e-05
91,1.02241e-05
92,9.02482e-06
93,7.96621e-06
94,7.03178e-06
95,6.20694e-06
96,5.47886e-06
97,4.83617e-06
98,4.26887e-06
99,3.76812e-06
