x1,x2,x3
0.4,-0.2,-0.14995987909534328
0.5,-0.2,-0.23832750174925724
0.5,-0.1,-0.29372011024931266
0.7,0.0,-0.5196867638111294
0.7,0.1,-0.550785123101848
0.8999999999999999,0.2,-0.817874974768607
0.8999999999999999,0.30000000000000004,-0.8876072968316492
1.0999999999999999,0.4000000000000001,-1.189963767357789
1.0999999999999999,0.5000000000000001,-1.278331390011703
1.2999999999999998,0.6000000000000001,-1.6009754825771962
1.2999999999999998,0.7000000000000001,-1.7010055241102562
1.5,0.8,-2.034959520920116
1.5,0.9,-2.1424630075899995
1.7000000000000002,1.0,-2.481254266811278
1.7000000000000002,1.1,-2.593296202475053
1.9000000000000004,1.2000000000000002,-2.9319030360625704
1.9000000000000004,1.3000000000000003,-3.046263343408956
2.1000000000000005,1.4000000000000004,-3.3806350630364426
2.1000000000000005,1.5000000000000004,-3.495557290269792
2.3000000000000007,1.6000000000000005,-3.8223490789647183
2.3000000000000007,1.7000000000000006,-3.936403176189028
2.500000000000001,1.8000000000000007,-4.252811710140577
2.500000000000001,1.9000000000000008,-4.364810875083842
2.700000000000001,2.000000000000001,-4.668464201841628
2.700000000000001,2.100000000000001,-4.777410599513782
2.9000000000000012,2.200000000000001,-5.066290122147195
2.9000000000000012,2.300000000000001,-5.171337410136171
3.1000000000000014,2.4000000000000012,-5.4437202215116605
3.1000000000000014,2.5000000000000013,-5.544146518630946
3.3000000000000016,2.6000000000000014,-5.798561330326795
3.3000000000000016,2.7000000000000015,-5.893749018904354
3.5000000000000018,2.8000000000000016,-6.128941557752231
3.5000000000000018,2.9000000000000017,-6.218361748701815
3.700000000000002,3.0000000000000018,-6.433266973943088
3.700000000000002,3.100000000000002,-6.5164672656289575
3.900000000000002,3.200000000000002,-6.710186640112463
3.900000000000002,3.300000000000002,-6.7867812729435055
4.100000000000001,3.400000000000002,-6.958563869696798
4.100000000000001,3.500000000000002,-7.028225667322302
4.300000000000001,3.6000000000000023,-7.1774522468790884
4.300000000000001,3.7000000000000024,-7.239905918841565
4.5,3.8000000000000025,-7.366075348926773
4.5,3.9000000000000026,-7.42109185058151
4.699999999999999,4.000000000000003,-7.523809401757256
4.699999999999999,4.100000000000002,-7.571201129025539
4.899999999999999,4.200000000000002,-7.6501682937000925
4.899999999999999,4.300000000000002,-7.689784946849897
5.099999999999998,4.400000000000001,-7.744790510693461
5.099999999999998,4.500000000000001,-7.776515501418729
5.1999999999999975,4.7,-7.831611017051807
5.1999999999999975,4.8999999999999995,-7.867057389577635
5.1999999999999975,5.099999999999999,-7.886379537329804
5.249999999999997,5.199999999999998,-7.890269392552145
5.249999999999997,5.249999999999998,-7.890556139909737
5.237499999999997,5.249999999999998,-7.890579112146559
5.237499999999997,5.237499999999998,-7.890602084383382
5.240624999999997,5.237499999999998,-7.890602257035146
5.240624999999997,5.240624999999998,-7.8906024296869095
5.239062499999997,5.240624999999998,-7.8906028363488465
5.239062499999997,5.2390624999999975,-7.8906032430107835
5.2392578124999964,5.2390624999999975,-7.8906032460983795
5.2392578124999964,5.239257812499997,-7.890603249185977
5.239160156249996,5.239257812499997,-7.890603249567911
5.239160156249996,5.239160156249997,-7.890603249949844
5.239208984374996,5.239160156249997,-7.890603250240311
5.239208984374996,5.239208984374997,-7.890603250530777
5.2391967773437464,5.239208984374997,-7.89060325054843
5.2391967773437464,5.239196777343747,-7.89060325056608
5.239199829101559,5.239196777343747,-7.890603250567308
5.239199829101559,5.23919982910156,-7.890603250568537
